"Symbol","Trade DATE","NOCP"
"COST","5/9/2019","243.470000000000"
"COST","5/8/2019","241.340000000000"
"COST","5/7/2019","240.180000000000"
"COST","5/6/2019","244.230000000000"
"COST","5/3/2019","244.620000000000"
"COST","5/2/2019","242.690000000000"
"COST","5/1/2019","241.590000000000"
"COST","4/30/2019","245.530000000000"
"COST","4/29/2019","244.280000000000"
"COST","4/26/2019","243.820000000000"
"COST","4/25/2019","245.600000000000"
"COST","4/24/2019","247.960000000000"
"COST","4/23/2019","245.580000000000"
"COST","4/22/2019","243.420000000000"
"COST","4/18/2019","245.810000000000"
"COST","4/17/2019","245.560000000000"
"COST","4/16/2019","245.340000000000"
"COST","4/15/2019","246.330000000000"
"COST","4/12/2019","241.950000000000"
"COST","4/11/2019","241.240000000000"
"COST","4/10/2019","245.610000000000"
"COST","4/9/2019","244.910000000000"
"COST","4/8/2019","246.520000000000"
"COST","4/5/2019","245.870000000000"
"COST","4/4/2019","244.400000000000"
"COST","4/3/2019","242.480000000000"
"COST","4/2/2019","240.500000000000"
"COST","4/1/2019","244.190000000000"
"COST","3/29/2019","242.140000000000"
"COST","3/28/2019","241.220000000000"
"COST","3/27/2019","239.410000000000"
"COST","3/26/2019","239.070000000000"
"COST","3/25/2019","236.970000000000"
"COST","3/22/2019","237.560000000000"
"COST","3/21/2019","239.540000000000"
"COST","3/20/2019","236.980000000000"
"COST","3/19/2019","237.050000000000"
"COST","3/18/2019","236.590000000000"
"COST","3/15/2019","233.600000000000"
"COST","3/14/2019","233.840000000000"
"COST","3/13/2019","236.380000000000"
"COST","3/12/2019","232.960000000000"
"COST","3/11/2019","229.690000000000"
"COST","3/8/2019","227.820000000000"
"COST","3/7/2019","216.790000000000"
"COST","3/6/2019","219.230000000000"
"COST","3/5/2019","219.820000000000"
"COST","3/4/2019","218.410000000000"
"COST","3/1/2019","219.440000000000"
"COST","2/28/2019","218.740000000000"
"COST","2/27/2019","218.050000000000"
"COST","2/26/2019","217.610000000000"
"COST","2/25/2019","217.050000000000"
"COST","2/22/2019","216.290000000000"
"COST","2/21/2019","215.230000000000"
"COST","2/20/2019","217.110000000000"
"COST","2/19/2019","218.120000000000"
"COST","2/15/2019","216.470000000000"
"COST","2/14/2019","213.840000000000"
"COST","2/13/2019","212.800000000000"
"COST","2/12/2019","211.900000000000"
"COST","2/11/2019","208.720000000000"
"COST","2/8/2019","207.750000000000"
"COST","2/7/2019","209.050000000000"
"COST","2/6/2019","211.600000000000"
"COST","2/5/2019","211.610000000000"
"COST","2/4/2019","211.180000000000"
"COST","2/1/2019","210.270000000000"
"COST","1/31/2019","214.630000000000"
"COST","1/30/2019","211.350000000000"
"COST","1/29/2019","210.310000000000"
"COST","1/28/2019","210.770000000000"
"COST","1/25/2019","209.070000000000"
"COST","1/24/2019","210.310000000000"
"COST","1/23/2019","212.090000000000"
"COST","1/22/2019","212.400000000000"
"COST","1/18/2019","213.590000000000"
"COST","1/17/2019","211.460000000000"
"COST","1/16/2019","210.180000000000"
"COST","1/15/2019","211.030000000000"
"COST","1/14/2019","209.000000000000"
"COST","1/11/2019","210.510000000000"
"COST","1/10/2019","210.640000000000"
"COST","1/9/2019","209.900000000000"
"COST","1/8/2019","208.550000000000"
"COST","1/7/2019","207.000000000000"
"COST","1/4/2019","206.240000000000"
"COST","1/3/2019","200.420000000000"
"COST","1/2/2019","204.760000000000"
"COST","12/31/2018","203.710000000000"
"COST","12/28/2018","202.040000000000"
"COST","12/27/2018","201.080000000000"
"COST","12/26/2018","198.630000000000"
"COST","12/24/2018","189.990000000000"
"COST","12/21/2018","194.520000000000"
"COST","12/20/2018","197.130000000000"
"COST","12/19/2018","201.410000000000"
"COST","12/18/2018","202.990000000000"
"COST","12/17/2018","202.230000000000"
"COST","12/14/2018","207.060000000000"
"COST","12/13/2018","226.510000000000"
"COST","12/12/2018","227.800000000000"
"COST","12/11/2018","226.500000000000"
"COST","12/10/2018","222.660000000000"
"COST","12/7/2018","224.860000000000"
"COST","12/6/2018","233.200000000000"
"COST","12/4/2018","226.350000000000"
"COST","12/3/2018","232.080000000000"
"COST","11/30/2018","231.280000000000"
"COST","11/29/2018","231.000000000000"
"COST","11/28/2018","230.340000000000"
"COST","11/27/2018","223.010000000000"
"COST","11/26/2018","219.450000000000"
"COST","11/23/2018","220.060000000000"
"COST","11/21/2018","218.570000000000"
"COST","11/20/2018","219.310000000000"
"COST","11/19/2018","228.740000000000"
"COST","11/16/2018","231.020000000000"
"COST","11/15/2018","229.940000000000"
"COST","11/14/2018","233.310000000000"
"COST","11/13/2018","234.140000000000"
"COST","11/12/2018","234.480000000000"
"COST","11/9/2018","237.740000000000"
"COST","11/8/2018","238.700000000000"
"COST","11/7/2018","240.370000000000"
"COST","11/6/2018","236.710000000000"
"COST","11/5/2018","234.450000000000"
"COST","11/2/2018","230.160000000000"
"COST","11/1/2018","229.600000000000"
"COST","10/31/2018","228.630000000000"
"COST","10/30/2018","227.920000000000"
"COST","10/29/2018","222.420000000000"
"COST","10/26/2018","218.190000000000"
"COST","10/25/2018","226.400000000000"
"COST","10/24/2018","223.760000000000"
"COST","10/23/2018","228.750000000000"
"COST","10/22/2018","229.060000000000"
"COST","10/19/2018","229.670000000000"
"COST","10/18/2018","228.580000000000"
"COST","10/17/2018","228.490000000000"
"COST","10/16/2018","227.680000000000"
"COST","10/15/2018","224.510000000000"
"COST","10/12/2018","226.950000000000"
"COST","10/11/2018","221.820000000000"
"COST","10/10/2018","221.050000000000"
"COST","10/9/2018","224.170000000000"
"COST","10/8/2018","223.930000000000"
"COST","10/5/2018","218.820000000000"
"COST","10/4/2018","231.680000000000"
"COST","10/3/2018","233.200000000000"
"COST","10/2/2018","236.350000000000"
"COST","10/1/2018","234.650000000000"
"COST","9/28/2018","234.880000000000"
"COST","9/27/2018","234.000000000000"
"COST","9/26/2018","233.810000000000"
"COST","9/25/2018","232.930000000000"
"COST","9/24/2018","233.340000000000"
"COST","9/21/2018","234.760000000000"
"COST","9/20/2018","233.920000000000"
"COST","9/19/2018","233.850000000000"
"COST","9/18/2018","234.350000000000"
"COST","9/17/2018","232.000000000000"
"COST","9/14/2018","235.380000000000"
"COST","9/13/2018","241.270000000000"
"COST","9/12/2018","242.440000000000"
"COST","9/11/2018","244.210000000000"
"COST","9/10/2018","243.180000000000"
"COST","9/7/2018","241.460000000000"
"COST","9/6/2018","236.680000000000"
"COST","9/5/2018","235.610000000000"
"COST","9/4/2018","234.680000000000"
"COST","8/31/2018","233.130000000000"
"COST","8/30/2018","230.830000000000"
